10000,504
10002,510
10003,496
10004,493
10005,49
10012,515
10014,531
10015,527
10018,524
10019,603
10021,214
10022,512
10023,57
10026,225
10027,507
10032,234
10037,404
10041,498
10043,25
10045,511
10046,503
10049,525
10050,31
10051,505
10053,491
10056,516
10058,505
10060,78
10068,61
10077,241
10080,60
10081,540
10082,508
10083,536
10084,507
10085,520
10088,54
10089,212
10090,506
10092,287
10093,281
10094,516
10095,83
10098,192
10101,537
10107,522
10108,202
10109,299
10111,589
10112,71
10115,212
10117,536
10118,62
10121,392
10123,519
10127,184
10134,519
10135,73
10136,532
10137,490
10141,509
10142,279
10143,510
10145,60
10146,509
10147,541
10150,529
10151,521
10152,498
10155,68
10157,232
10160,240
10161,214
10162,229
10163,228
10164,588
10167,497
10170,238
10172,513
10173,235
10174,220
10178,498
10181,599
10183,367
10185,518
10186,289
10188,286
10190,87
10192,503
10193,521
10194,517
10196,586
10204,158
10205,514
10206,94
10214,588
10215,507
10216,236
10217,67
10218,460
10221,531
10225,203
10228,232
10231,518
10232,477
10233,154
10236,219
10240,516
10243,510
10245,582
10246,70
10249,256
10252,497
10256,229
10261,265
10264,539
10265,517
10266,516
10271,507
10272,518
10275,62
10279,218
10280,521
10282,530
10284,490
10289,524
10290,284
10291,87
10292,533
10293,534
10295,503
10296,502
10298,521
10301,50
10305,61
10309,355
10311,395
10314,83
10316,76
10317,492
10319,526
10320,521
10321,491
10322,54
10324,201
10325,512
10326,202
10329,204
10331,523
10334,200
10336,68
10339,72
10341,76
10345,567
10346,235
10347,226
10349,214
10359,224
10362,500
10367,537
10370,248
10373,213
10374,228
10375,210
10379,77
10381,523
10382,292
10383,219
10386,274
10387,510
10388,409
10391,272
10394,517
10397,495
10399,214
10401,576
10402,523
10403,230
10404,198
10405,269
10408,511
10409,391
10413,207
10414,86
10415,307
10417,71
10418,406
10419,532
10420,523
10425,233
10426,526
10427,590
10429,218
10430,536
10434,76
10435,168
10437,62
10439,476
10440,27
10447,65
10448,82
10449,68
10452,215
10454,234
10455,27
10457,59
10458,278
10461,536
10462,63
10463,582
10467,576
10469,522
10473,509
10474,178
10476,108
10479,509
10481,518
10482,506
10483,274
10484,510
10485,68
10487,210
10488,511
10490,71
10492,519
10493,92
10494,523
10495,508
10498,64
10500,234
10502,579
10504,213
10506,58
10508,517
10511,535
10512,564
10513,520
10514,494
10516,512
10517,204
10518,240
10522,518
10526,521
10528,524
10529,511
10530,478
10531,215
10532,524
10533,269
10539,511
10540,507
10545,377
10546,206
10548,296
10554,237
10556,536
10561,520
10564,504
10565,571
10566,224
10567,524
10568,211
10570,496
10571,397
10572,317
10577,506
10578,231
10579,519
10591,80
10594,579
10597,79
10598,78
10601,276
10603,217
10604,25
10606,29
10607,510
10608,492
10609,250
10615,515
10620,510
10621,50
10625,494
10628,521
10629,507
10630,219
10631,513
10633,583
10634,490
10636,51
10637,225
10638,511
10639,57
10643,240
10648,81
10649,227
10652,526
10653,219
10656,524
10657,505
10659,513
10660,512
10661,539
10665,277
10666,508
10668,569
10669,238
10670,19
10671,76
10672,210
10675,84
10680,253
10682,92
10683,517
10685,255
10688,232
10693,26
10698,499
10702,71
10703,259
10704,531
10705,84
10706,246
10707,213
10708,535
10711,516
10712,220
10713,197
10714,74
10717,57
10719,294
10720,81
10721,168
10722,209
10724,28
10725,530
10726,194
10727,281
10728,56
10732,241
10735,70
10736,225
10737,531
10739,70
10740,498
10743,538
10744,495
10748,502
10749,69
10750,540
10751,60
10752,290
10754,64
10756,507
10757,509
10758,234
10759,209
10761,512
10762,69
10766,516
10771,34
10772,200
10774,224
10777,523
10778,484
10779,30
10781,217
10785,540
10788,261
10789,285
10790,77
10791,61
10794,212
10797,209
10801,401
10803,62
10804,203
10807,229
10809,240
10812,307
10814,218
10815,75
10817,235
10818,258
10821,221
10826,207
10830,172
10835,272
10836,175
10837,67
10838,215
10840,230
10842,204
10848,74
10853,275
10854,213
10855,507
10858,541
10861,223
10863,528
10865,236
10868,212
10870,529
10871,537
10873,283
10876,554
10879,218
10880,213
10884,86
10887,219
10891,532
10893,78
10894,563
10897,571
10903,26
10904,80
10907,301
10911,215
10913,399
10918,514
10921,197
10925,13
10927,525
10930,214
10931,212
10932,593
10933,391
10936,318
10937,206
10941,517
10943,229
10948,60
10949,499
10955,198
10957,575
10961,539
10967,508
10969,503
10970,213
10975,203
10976,507
10977,198
10981,57
10982,253
10983,224
10984,269
10985,517
10986,174
10991,249
10993,321
10996,556
10997,113
11000,273
11001,247
11002,563
11006,274
11009,206
11012,235
11016,511
11018,295
11021,611
11023,508
11025,495
11026,552
11027,224
11028,486
11029,608
11032,209
11033,222
11035,218
11038,518
11039,72
11040,241
11044,529
11046,493
11050,56
11052,519
11056,167
11064,285
11065,37
11066,237
11067,209
11068,203
11069,541
11070,225
11075,266
11078,63
11080,61
11083,529
11084,586
11085,537
11089,235
11091,494
11093,518
11095,41
11096,405
11097,68
11098,515
11099,492
11100,531
11102,81
11103,209
11104,539
11107,529
11111,275
11113,487
11115,63
11116,614
11123,535
11125,207
11128,66
11129,216
11135,88
11136,537
11137,266
11138,242
11143,577
11144,504
11147,216
11148,265
11149,268
11150,613
11151,456
11153,507
11155,28
